"","DEPARTMENT","DEP.CODE","DISTRICT","ELECTORATE","VOTES","VALID","NULL.","BLANK","MAS","PDC","PVB.IEP","MSM","UD","P.MAS.VOTE","P.TURNOUT","P.NULL","P.BLANK","P.14.YOUNGER","P.65.OLDER","P.LITERATE","P.RURAL","P.MALE","MESAS"
"1","Chuquisaca",1,1,96222,85987,73535,3030,9422,27770,30570,1436,2087,11672,0.378,0.894,0.0352,0.11,0.303,0.06,0.948,0.086,0.477,544
"2","Chuquisaca",1,2,85707,77060,60827,308,13153,26914,13956,9,2766,17182,0.442,0.899,0.004,0.171,0.303,0.06,0.948,0.086,0.477,485
"3","Chuquisaca",1,3,44170,38010,27478,1499,9033,22896,931,26,937,2688,0.833,0.861,0.0394,0.238,0.304,0.088,0.894,0.298,0.483,250
"4","Chuquisaca",1,4,56984,49327,37061,1744,10522,29114,1967,28,983,4969,0.786,0.866,0.0354,0.213,0.351,0.083,0.852,0.803,0.515,322
"5","Chuquisaca",1,5,40046,33727,26019,1008,6700,21135,781,11,1513,2579,0.812,0.842,0.0299,0.199,0.381,0.081,0.856,0.894,0.494,227
"6","La Paz",2,6,151752,138538,119925,3628,14985,50984,9668,7682,27027,24564,0.425,0.913,0.0262,0.108,0.243,0.075,0.982,0.01,0.48,812
"7","La Paz",2,7,149895,135807,118136,2906,14765,45592,13191,3830,29942,25581,0.386,0.906,0.0214,0.109,0.243,0.075,0.982,0.01,0.48,803
"8","La Paz",2,8,155247,141420,121091,3942,16387,48069,17098,7926,24603,23395,0.397,0.911,0.0279,0.116,0.243,0.075,0.982,0.01,0.48,831
"9","La Paz",2,9,153402,141034,119914,3925,17195,56023,8346,12173,27049,16323,0.467,0.919,0.0278,0.122,0.243,0.075,0.982,0.01,0.48,821
"10","La Paz",2,10,164127,151835,116265,5093,30477,71575,10266,8889,7987,17548,0.616,0.925,0.0335,0.201,0.324,0.037,0.97,0.002,0.482,879
"11","La Paz",2,11,176680,162245,135109,4480,22656,73846,10558,11767,13933,25005,0.547,0.918,0.0276,0.14,0.324,0.037,0.97,0.002,0.482,946
"12","La Paz",2,12,117640,108268,83136,2935,22197,56310,2703,5592,4674,13857,0.677,0.92,0.0271,0.205,0.324,0.037,0.97,0.002,0.482,630
"13","La Paz",2,13,114708,105636,79092,3277,23267,55090,3888,4825,5500,9789,0.697,0.921,0.031,0.22,0.324,0.037,0.97,0.002,0.482,614
"14","La Paz",2,14,71661,65292,39938,1987,23367,29407,499,2227,1879,5926,0.736,0.911,0.0304,0.358,0.319,0.052,0.971,0.151,0.49,384
"15","La Paz",2,15,69863,59810,39199,1937,18674,30382,475,1106,3237,3999,0.775,0.856,0.0324,0.312,0.299,0.1,0.884,0.846,0.512,374
"16","La Paz",2,16,76501,66079,49989,1903,14187,32808,558,8131,3652,484,0.719,0.864,0.0288,0.215,0.32,0.054,0.943,0.802,0.535,410
"17","La Paz",2,17,83930,71470,51347,1600,18523,40308,548,692,5935,3864,0.785,0.852,0.0224,0.259,0.312,0.064,0.944,0.901,0.527,449
"18","La Paz",2,18,97321,89628,63281,1894,24453,53534,1448,1427,3005,3867,0.846,0.921,0.0211,0.273,0.296,0.09,0.935,0.785,0.51,521
"19","La Paz",2,19,88342,80946,55291,2644,23011,35336,865,1820,5103,12167,0.639,0.916,0.0327,0.284,0.278,0.107,0.943,0.64,0.502,473
"20","Cochabamba",3,20,159532,142853,125286,4361,13206,36397,17460,7944,9766,53719,0.291,0.895,0.0305,0.092,0.284,0.064,0.976,0,0.482,867
"21","Cochabamba",3,21,146649,131438,108749,4159,18530,57168,14288,4607,6333,26353,0.526,0.896,0.0316,0.141,0.284,0.064,0.976,0,0.482,797
"22","Cochabamba",3,22,148816,134608,109313,4293,21002,54571,9270,4643,13542,27287,0.499,0.905,0.0319,0.156,0.284,0.064,0.976,0,0.482,809
"23","Cochabamba",3,23,123149,111925,88731,3762,19432,53361,7205,3043,4312,20810,0.601,0.909,0.0336,0.174,0.317,0.054,0.952,0.197,0.489,669
"24","Cochabamba",3,24,110539,100760,82352,2022,16386,78302,1290,999,1720,41,0.951,0.912,0.0201,0.163,0.349,0.025,0.944,0.752,0.538,601
"25","Cochabamba",3,25,85379,75686,58998,2629,14059,50939,943,582,3836,2698,0.863,0.886,0.0347,0.186,0.341,0.08,0.876,0.88,0.499,464
"26","Cochabamba",3,26,107909,95800,73254,3561,18985,57944,1777,1023,4242,8268,0.791,0.888,0.0372,0.198,0.3,0.095,0.918,0.551,0.484,587
"27","Cochabamba",3,27,111861,100723,78526,3019,19178,53993,3344,5893,2542,12754,0.688,0.9,0.03,0.19,0.34,0.067,0.902,0.589,0.496,608
"28","Cochabamba",3,28,133230,120236,98943,4201,17092,54660,8316,6620,8792,20555,0.552,0.902,0.0349,0.142,0.302,0.058,0.969,0.035,0.486,724
"29","Oruro",4,29,94677,86563,73564,3029,9970,30301,18252,1740,14836,8435,0.412,0.914,0.035,0.115,0.306,0.051,0.976,0,0.479,531
"30","Oruro",4,30,91037,82233,67763,3312,11158,29652,8992,3685,13045,12389,0.438,0.903,0.0403,0.136,0.306,0.051,0.976,0,0.479,510
"31","Oruro",4,31,57703,52937,35874,2312,14751,26178,1248,22,4493,3933,0.73,0.917,0.0437,0.279,0.319,0.076,0.931,0.616,0.514,324
"32","Oruro",4,32,49030,44245,31186,1201,11858,23718,988,57,2866,3557,0.761,0.902,0.0271,0.268,0.301,0.094,0.953,0.931,0.514,275
"33","Potosi",4,33,80051,72021,61043,3333,7645,17102,2026,5663,2031,34221,0.28,0.9,0.0463,0.106,0.331,0.047,0.956,0.08,0.479,457
"34","Potosi",4,34,60991,54540,40659,3069,10812,20654,3116,3474,2195,11220,0.508,0.894,0.0563,0.198,0.335,0.055,0.927,0.235,0.487,349
"35","Potosi",4,35,44703,37653,24259,1575,11819,20007,303,1423,594,1932,0.825,0.842,0.0418,0.314,0.342,0.099,0.835,0.93,0.495,255
"36","Potosi",4,36,51696,45095,31566,1590,11939,20932,774,3524,974,5362,0.663,0.872,0.0353,0.265,0.33,0.084,0.914,0.749,0.496,295
"37","Potosi",4,37,60003,50879,35714,2366,12799,23762,1339,1065,1215,8333,0.665,0.848,0.0465,0.252,0.327,0.076,0.933,0.376,0.487,343
"38","Potosi",4,38,55318,48565,36059,1887,10619,25954,456,1597,3147,4905,0.72,0.878,0.0389,0.219,0.369,0.073,0.868,0.673,0.499,316
"39","Potosi",4,39,56382,48560,33325,2308,12927,26568,334,1665,2457,2301,0.797,0.861,0.0475,0.266,0.368,0.088,0.778,0.892,0.513,322
"40","Tarija",4,40,92515,81783,65907,2898,12978,23283,21938,1027,872,18787,0.353,0.884,0.0354,0.159,0.277,0.065,0.946,0.132,0.486,516
"41","Tarija",4,41,77926,69510,55584,2509,11417,18252,20192,14,1015,16111,0.328,0.892,0.0361,0.164,0.271,0.061,0.959,0.126,0.485,434
"42","Tarija",4,42,67743,58273,40854,2015,15404,24059,3688,25,3144,9938,0.589,0.86,0.0346,0.264,0.302,0.065,0.923,0.665,0.519,378
"43","Tarija",4,43,82830,71175,57396,2418,11361,20688,6360,9,2528,27811,0.36,0.859,0.034,0.16,0.322,0.05,0.952,0.286,0.505,462
"44","Santa Cruz",5,44,119703,103100,87939,2383,12778,24091,23433,26,2415,37974,0.274,0.861,0.0231,0.124,0.296,0.04,0.986,0.008,0.496,673
"45","Santa Cruz",5,45,136137,118343,104642,2852,10849,20400,12068,5551,1842,64781,0.195,0.869,0.0241,0.092,0.296,0.04,0.986,0.008,0.496,765
"46","Santa Cruz",5,46,105271,91066,77122,2374,11570,28981,2695,1286,871,43289,0.376,0.865,0.0261,0.127,0.296,0.04,0.986,0.008,0.496,592
"47","Santa Cruz",5,47,106125,91953,77865,2305,11783,29293,7072,1756,1658,38086,0.376,0.866,0.0251,0.128,0.296,0.04,0.986,0.008,0.496,597
"48","Santa Cruz",5,48,120646,104896,85011,2858,17027,42377,10114,2368,1850,28302,0.498,0.869,0.0272,0.162,0.296,0.04,0.986,0.008,0.496,678
"49","Santa Cruz",5,49,96224,83888,65676,2426,15786,39705,3856,49,1564,20502,0.605,0.872,0.0289,0.188,0.296,0.04,0.986,0.008,0.496,541
"50","Santa Cruz",5,50,117566,102579,80298,3091,19190,40178,6667,51,4662,28740,0.5,0.873,0.0301,0.187,0.296,0.04,0.986,0.008,0.496,661
"51","Santa Cruz",5,51,143353,124120,103519,3457,17144,37557,13458,2201,2502,47801,0.363,0.866,0.0279,0.138,0.296,0.04,0.986,0.008,0.496,806
"52","Santa Cruz",5,52,112852,98536,80465,2581,15490,42000,1696,41,2946,33782,0.522,0.873,0.0262,0.157,0.335,0.043,0.96,0.239,0.518,634
"53","Santa Cruz",5,53,82735,67131,48104,1379,17648,28158,2342,41,1421,16142,0.585,0.811,0.0205,0.263,0.383,0.037,0.95,0.51,0.527,465
"54","Santa Cruz",5,54,86649,69967,54067,1540,14360,21182,8791,24,861,23209,0.392,0.807,0.022,0.205,0.369,0.04,0.975,0.49,0.523,487
"55","Santa Cruz",5,55,96148,79286,59062,2264,17960,29034,2601,42,1106,26279,0.492,0.825,0.0286,0.227,0.352,0.042,0.966,0.381,0.509,540
"56","Santa Cruz",5,56,94723,81540,61658,2682,17200,30003,1379,31,1433,28812,0.487,0.861,0.0329,0.211,0.339,0.062,0.938,0.569,0.518,532
"57","Santa Cruz",5,57,109448,95303,72805,2588,19910,38868,2399,2662,4134,24742,0.534,0.871,0.0272,0.209,0.349,0.039,0.96,0.245,0.521,615
"58","Beni",6,58,72646,62392,52623,1149,8620,18255,2710,27,612,31019,0.347,0.859,0.0184,0.138,0.322,0.044,0.985,0.092,0.501,423
"59","Beni",6,59,38746,32058,23912,854,7292,11021,1176,369,736,10610,0.461,0.827,0.0266,0.227,0.388,0.045,0.938,0.497,0.526,226
"60","Beni",6,60,57366,48592,39087,1012,8493,13588,967,22,1600,22910,0.348,0.847,0.0208,0.175,0.371,0.042,0.977,0.188,0.511,334
"61","Beni",6,61,46908,38389,32279,769,5341,12539,564,9,1629,17538,0.388,0.818,0.02,0.139,0.352,0.05,0.97,0.323,0.526,273
"62","Pando",7,62,38636,33380,27666,1297,4417,12766,3641,286,1366,9607,0.461,0.864,0.0389,0.132,0.333,0.028,0.983,0.195,0.528,261
"63","Pando",7,63,17282,13842,10413,457,2972,5760,274,1,182,4166,0.555,0.801,0.033,0.215,0.404,0.021,0.971,0.894,0.557,117
